Начало игровой сессии
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:36 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:21:37 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:37 - Список очищен, tag: Enemy1, Точек в списке: 0
02:21:37 - Список очищен, tag: Enemy2, Точек в списке: 0
02:21:37 - Список очищен, tag: Enemy3, Точек в списке: 0
02:21:38 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:38 - Список очищен, tag: Enemy1, Точек в списке: 0
02:21:38 - Список очищен, tag: Enemy2, Точек в списке: 0
02:21:38 - Список очищен, tag: Enemy3, Точек в списке: 0
02:21:39 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:39 - Список очищен, tag: Enemy1, Точек в списке: 0
02:21:39 - Список очищен, tag: Enemy2, Точек в списке: 0
02:21:39 - Список очищен, tag: Enemy3, Точек в списке: 0
02:21:40 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:40 - Список очищен, tag: Enemy1, Точек в списке: 0
02:21:40 - Список очищен, tag: Enemy2, Точек в списке: 0
02:21:40 - Список очищен, tag: Enemy3, Точек в списке: 0
02:21:41 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:41 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:41 - Список очищен, tag: Enemy1, Точек в списке: 0
02:21:41 - Список очищен, tag: Enemy2, Точек в списке: 0
02:21:41 - Список очищен, tag: Enemy3, Точек в списке: 0
02:21:42 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:42 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:21:42 - Список очищен, tag: Enemy1, Точек в списке: 0
