Начало игровой сессии
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:28:47 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:28:47 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:47 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:28:47 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:47 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:28:47 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:47 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:28:47 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:48 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:48 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:48 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:48 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:49 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:49 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:49 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:49 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:50 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:28:50 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:50 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:28:50 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:50 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:50 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:50 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:50 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:51 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:51 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:51 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:51 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:51 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:52 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:52 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:52 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:52 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:52 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:53 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:53 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:28:53 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:53 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:28:53 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:53 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:53 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:53 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:53 - Список очищен, tag: Enemy3, Точек в списке: 0
02:28:54 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
