Начало игровой сессии
Начало игровой сессии
03:11:41 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:11:41 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:41 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:41 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
03:11:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
