Начало игровой сессии
04:04:05 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
04:04:05 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:0
04:04:05 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
04:04:05 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:0
04:04:05 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:3, Draft:0, Growth:2
04:04:05 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
04:04:05 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:0
04:04:27 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
04:04:27 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:3, Draft:0, Growth:2
04:04:27 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
04:04:27 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:0
04:04:58 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
04:04:58 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:3, Draft:0, Growth:2
04:04:58 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
04:04:58 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:0
