Начало игровой сессии
22:17:43 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:17:44 - 1Planet: Enemy1, 2Planet: Enemy1
22:17:45 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:17:48 - 1Planet: Enemy1, 2Planet: Enemy1
22:17:49 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:17:49 - 1Planet: Enemy2, 2Planet: Enemy2
22:17:51 - 1Planet: Enemy2, 2Planet: Enemy2
22:17:52 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:17:53 - 1Planet: Enemy1, 2Planet: Enemy1
22:17:53 - 1Planet: Enemy2, 2Planet: Enemy2
22:17:56 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:17:58 - 1Planet: Enemy2, 2Planet: Enemy2
22:17:59 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:05 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:06 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:08 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:11 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:11 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:15 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:16 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:18 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:19 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:22 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:24 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:26 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:29 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:31 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:31 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:34 - 1Planet: Enemy2, 2Planet: Enemy2
22:18:37 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:37 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:40 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:41 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:43 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:46 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:50 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:55 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:18:55 - 1Planet: Enemy1, 2Planet: Enemy1
22:18:59 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:06 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:19:07 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:13 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:20 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:24 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:19:28 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:19:28 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:34 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:43 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:47 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:19:58 - 1Planet: Enemy1, 2Planet: Enemy1
22:19:59 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:20:02 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:07 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:11 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:14 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:16 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:20:16 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:19 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:22 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:23 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:20:26 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:33 - 1Planet: Enemy1, 2Planet: Enemy1
22:20:37 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:20:40 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:20:52 - 1Planet: Enemy1, 2Planet: Enemy1
